session,participant,part_label,clicked_button,round_number,final_cash,bonus,show-up,cash_plus_show,bonus_plus_show
bt6k6rqp,ul125qb1,86T,1,33,7.8,9.0,12.0,19.8,21.0
bt6k6rqp,vvh5zace,04R,1,33,8.95,11.0,12.0,20.95,23.0
bt6k6rqp,olfsersm,75K,1,33,6.44,7.0,12.0,18.44,19.0
bt6k6rqp,ra4b7tia,14L,1,33,8.53,9.0,12.0,20.53,21.0
bt6k6rqp,rp6hi2rs,61K,1,33,3.32,4.0,12.0,15.32,16.0
bt6k6rqp,o6s6ayqu,30G,1,33,1.15,4.0,12.0,13.15,16.0
bt6k6rqp,s2q0vx6j,81K,1,33,8.9,10.0,12.0,20.9,22.0
bt6k6rqp,oftgfyb8,85E,0,33,0.0,0.0,12.0,12.0,12.0
bt6k6rqp,kcyc8zd3,25C,0,33,0.0,0.0,12.0,12.0,12.0
bt6k6rqp,wrwz0jvk,22E,0,33,0.0,0.0,12.0,12.0,12.0
bt6k6rqp,8g1at9po,75Q,0,33,0.0,0.0,12.0,12.0,12.0
bt6k6rqp,x8369xmh,68X,0,33,0.0,0.0,12.0,12.0,12.0
bt6k6rqp,vefpzsbo,28Q,0,33,0.0,0.0,12.0,12.0,12.0
bt6k6rqp,j4qgnvj9,59H,0,33,0.0,0.0,12.0,12.0,12.0
bt6k6rqp,5plzzqu9,91A,0,33,0.0,0.0,12.0,12.0,12.0
bt6k6rqp,em4tq056,30F,0,33,0.0,0.0,12.0,12.0,12.0
bt6k6rqp,qvyjpdow,78P,0,33,0.0,0.0,12.0,12.0,12.0
bt6k6rqp,0oggfqet,83Z,0,33,0.0,0.0,12.0,12.0,12.0
bt6k6rqp,uh4043bl,77H,0,33,0.0,0.0,12.0,12.0,12.0
bt6k6rqp,2k0xpy93,99Z,0,33,0.0,0.0,12.0,12.0,12.0
