,price,volume,lag_price,lag_volume,price_change,period-1 forecast error,period-3 forecast error,period-6 forecast error,period-11 forecast error,laged_risk_parameter_mv_avg,rounds_remaining,order_book_pressure,asset_allocation
0,15.0,15.0,14.0,,1.0,,,,,,29,14.375,1.7857142857142858
1,16.0,16.0,15.0,15.0,1.0,-3.235294117647058,,,,0.7506905940781411,28,15.64516129032258,1.7766666666666664
2,16.0,16.0,16.0,16.0,0.0,-2.3529411764705888,,,,0.6639456042533866,27,15.6,1.8114062499999999
3,17.0,17.0,16.0,16.0,1.0,-2.0,-2.875,,,0.5478902624706459,26,16.857142857142858,1.9269965277777779
4,17.0,17.0,17.0,17.0,0.0,-3.7777777777777786,-1.875,,,0.5852893026735329,25,16.20689655172414,1.9631699346405225
5,17.0,17.0,17.0,17.0,0.0,-2.7222222222222214,-1.166666666666666,,,0.5815006135162548,24,16.416666666666668,2.1201470588235294
6,18.0,18.0,17.0,17.0,1.0,-3.3888888888888893,-3.7222222222222214,-2.3529411764705888,,0.6047480742967444,23,17.347826086956523,2.2496732026143795
7,19.0,19.0,18.0,18.0,1.0,-3.7777777777777786,-4.111111111111111,0.13333333333333286,,0.6388534505282247,22,19.166666666666668,2.286489197530864
8,20.0,20.0,19.0,19.0,1.0,-3.7777777777777786,-2.7777777777777786,-2.166666666666668,,0.6356109051200242,21,20.555555555555557,2.327090643274854
9,21.0,21.0,20.0,20.0,1.0,-5.722222222222221,-4.388888888888889,-5.055555555555555,,0.6495072513644269,20,20.476190476190474,2.371263888888889
10,21.0,21.0,21.0,21.0,0.0,-4.764705882352942,-4.666666666666668,-3.8888888888888893,,0.6680830240817597,19,21.0,2.3903240740740745
11,22.0,22.0,21.0,21.0,1.0,-5.166666666666668,-5.666666666666668,-3.6111111111111107,-2.428571428571427,0.6817436405487405,18,21.517241379310345,2.528888888888889
12,23.0,23.0,22.0,22.0,1.0,-5.722222222222221,-6.0588235294117645,-5.444444444444443,-3.6000000000000014,0.6810774608355099,17,22.571428571428573,2.580082070707071
13,26.0,26.0,23.0,23.0,3.0,-7.444444444444443,-8.444444444444443,-8.61111111111111,-5.666666666666668,0.6826975720964459,16,25.571428571428573,2.608701690821256
14,28.0,28.0,26.0,26.0,2.0,-8.722222222222221,-8.38888888888889,-10.277777777777779,-10.88888888888889,0.6935588170606161,15,27.5,2.461559829059829
15,33.0,33.0,28.0,28.0,5.0,-14.166666666666668,-14.11111111111111,-14.117647058823529,-15.705882352941178,0.7050921173109029,14,,2.4143055555555555
16,35.0,35.0,33.0,33.0,2.0,-15.777777777777779,-14.88888888888889,-16.5,-15.833333333333332,0.7064675368368956,13,35.0,2.1630513468013466
17,36.0,36.0,35.0,35.0,1.0,-13.352941176470587,-16.166666666666668,-16.11111111111111,-16.88888888888889,0.7062176122756421,12,36.333333333333336,2.17
18,37.0,37.0,36.0,36.0,1.0,-13.588235294117649,-17.11111111111111,-15.777777777777779,-17.333333333333332,0.7053684624323955,11,37.10344827586207,2.226323302469136
19,38.0,38.0,37.0,37.0,1.0,-11.61111111111111,-16.0,-16.27777777777778,-18.8125,0.7034360234743035,10,37.96,2.3014864864864863
20,40.0,40.0,38.0,38.0,2.0,-10.222222222222221,-16.470588235294116,-17.333333333333332,-19.705882352941178,0.7158927043953557,9,39.44444444444444,2.3792909356725147
21,41.0,41.0,40.0,40.0,1.0,-10.333333333333332,-15.666666666666668,-18.941176470588236,-20.444444444444443,0.7190579053146109,8,40.23529411764706,2.3983402777777774
22,43.0,43.0,41.0,41.0,2.0,-9.625,-12.444444444444443,-20.0,-22.058823529411764,0.7245882842688676,7,42.07142857142857,2.46659891598916
23,45.0,45.0,43.0,43.0,2.0,-10.294117647058826,-13.277777777777779,-19.764705882352942,-22.944444444444443,0.7220961962688156,6,45.333333333333336,2.4927293281653746
24,45.0,45.0,45.0,45.0,0.0,-12.611111111111114,-10.8125,-17.833333333333332,-22.11111111111111,0.727271008740033,5,45.2,2.5232654320987655
25,45.0,45.0,45.0,45.0,0.0,-9.666666666666664,-8.0,-11.333333333333336,-22.444444444444443,0.7251737417874199,4,45.45454545454545,2.6716512345679018
26,45.0,45.0,45.0,45.0,0.0,-8.055555555555557,-11.166666666666664,-12.944444444444443,-21.294117647058822,0.7272118326357984,3,44.75,2.8274598765432097
27,44.0,44.0,45.0,45.0,-1.0,-6.0,-5.882352941176471,-8.75,-18.941176470588236,0.7363994077953563,2,44.5,2.9777283950617286
28,44.0,44.0,44.0,44.0,0.0,-3.7777777777777786,-6.222222222222221,-8.058823529411768,-17.2,0.7378645457494231,1,,3.220397727272727
29,44.0,44.0,44.0,44.0,0.0,-3.8333333333333357,-5.333333333333336,-8.555555555555557,-16.058823529411764,0.7424309312283481,0,42.375,3.3905145202020197
