session,participant,part_label,clicked_button,round_number,final_cash,bonus,show-up,cash_plus_show,bonus_plus_show
u2v38he0,9c5emh7v,38X,0,33,0.0,0.0,10.0,10.0,10.0
u2v38he0,da5m8yfw,74D,0,33,0.0,0.0,10.0,10.0,10.0
s5nyenhs,wapciq35,23Y,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,oeoe55y8,20V,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,vqxhhnad,19Y,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,kqwas00f,55V,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,y5cm1ta9,76Q,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,5r06zip9,61E,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,eimzbskc,78Z,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,8vuiuiux,55C,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,4z9ts8pd,92L,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,tdalnvu3,86B,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,mvbagnnk,41A,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,t99ddtdl,83V,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,eho1my68,68T,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,ud6x9zwt,15C,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,rwyvmwvz,11K,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,ifp6uhvm,67R,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,e2s8tuzm,34Z,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,6j24lw1a,49M,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,fq9t2s3a,58V,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,w90toog4,02U,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,4ro65sqm,70B,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,n3krr5n7,89W,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,gefbsl9i,12Q,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,akaq38vk,00V,0,33,0.0,0.0,12.0,12.0,12.0
s5nyenhs,95rig9y8,07W,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,gl51q2vq,15D,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,l0grn7sz,67W,1,33,9.2,22.78,12.0,21.2,34.78
pk07m2y3,jy2a5vzo,89L,1,33,9.43,31.33,12.0,21.43,43.33
pk07m2y3,o15xzr8d,92Z,1,33,1.08,15.71,12.0,13.08,27.71
pk07m2y3,l57o9tis,35G,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,hh6sicch,07Q,1,33,9.37,22.02,12.0,21.37,34.02
pk07m2y3,68cpb66c,95E,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,atgr7a8d,92T,1,33,3.21,15.51,12.0,15.21,27.51
pk07m2y3,dxuiq3eb,24E,1,33,5.77,18.72,12.0,17.77,30.72
pk07m2y3,hjc5va7o,64S,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,wfl1z2g1,95Z,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,rrz582h4,48P,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,wvvrvvaj,87X,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,bz49iw35,06R,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,r7mbeur3,20G,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,exy6fw5x,07N,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,5tm7qhs1,27N,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,1u1ufjyw,20M,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,764yxc71,85N,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,gb3hkq5e,37F,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,il9bgwox,98Z,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,g4tyhcz6,69Z,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,pz67r0id,28O,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,whfd062k,85O,0,33,0.0,0.0,12.0,12.0,12.0
pk07m2y3,46u7np3d,46R,0,33,0.0,0.0,12.0,12.0,12.0
