session,participant,timeslot,finished
w291m27d,,2024-04-04 15:00:00,1
w291m27d,5b3e2334cdb4ce0001d93c51,2024-04-04 15:00:00,1
w291m27d,5ddee8912e6c77e798b5882f,2024-04-04 15:00:00,1
w291m27d,62b9c2f1e55fe9f17dfedc5d,2024-04-04 15:00:00,1
w291m27d,657f6c3a70bee71477c10e90,2024-04-04 15:00:00,1
w291m27d,5d4a41890e604c00011ade8b,2024-04-04 15:00:00,1
w291m27d,65edfd46701f04e9cfffc76c,2024-04-04 15:00:00,1
w291m27d,639b9ab341f4429b1b3c06a2,2024-04-04 15:00:00,1
w291m27d,6425da2ae14ac64b0138c3cb,2024-04-04 15:00:00,1
w291m27d,6100b9bc3ca21392600e905c,2024-04-04 15:00:00,1
w291m27d,5dd2f94a238a913096c52317,2024-04-04 15:00:00,1
w291m27d,5b6872f33ffbf200015434ef,2024-04-04 15:00:00,1
w291m27d,5ecd4acdb218ec085c6eefe6,2024-04-04 15:00:00,1
w291m27d,5f2a12f5837dd81e5881b7cc,2024-04-04 15:00:00,1
w291m27d,5bdbf2d92562330001b8d056,2024-04-04 15:00:00,1
w291m27d,63d9bbe653e18c0a4e74f51f,2024-04-04 15:00:00,1
w291m27d,65e207f52aa80c2ecbb55ddd,2024-04-04 15:00:00,1
w291m27d,60fee6ac4251e521b4546f1d,2024-04-04 15:00:00,1
w291m27d,601a2908d4210b238f755fed,2024-04-04 15:00:00,1
8iik09lc,6018a5c0e1600b187ccb8693,2024-06-04 14:00:00,1
8iik09lc,5d6b596f76cca6000166d81d,2024-06-04 14:00:00,1
8iik09lc,6318ed962c89e72710559631,2024-06-04 14:00:00,1
8iik09lc,632dd45fb49858b31338c11c,2024-06-04 14:00:00,1
8iik09lc,5fb3d71c3144730009fe4a7b,2024-06-04 14:00:00,1
8iik09lc,660b2346862ff2a3da9cfe3e,2024-06-04 14:00:00,1
8iik09lc,56f9364e895094000c8f4967,2024-06-04 14:00:00,1
8iik09lc,65e1e69cc010f4b4a1ef32e6,2024-06-04 14:00:00,1
8iik09lc,655fb267d98c83d9b05df214,2024-06-04 14:00:00,1
8iik09lc,663e26ccdbc470527165388b,2024-06-04 14:00:00,1
8iik09lc,660cd7b61a24eeff3eac6e93,2024-06-04 14:00:00,1
8iik09lc,63f78071721a6cacdd63d835,2024-06-04 14:00:00,1
8iik09lc,65cce024500351e8c8f7ff26,2024-06-04 14:00:00,1
8iik09lc,66526ff89d419e456e380c07,2024-06-04 14:00:00,1
8iik09lc,62a0a145febfebefa7162539,2024-06-04 14:00:00,1
8iik09lc,59d9d9cd8fd07a0001842484,2024-06-04 14:00:00,1
8iik09lc,62f8f9a33bc7d6d2915ea840,2024-06-04 14:00:00,1
8iik09lc,663eac17fa88359207b24819,2024-06-04 14:00:00,1
