time,value,page,rnd
1720471045.0,0.375,PreMarketWait,1
1720471118.875,0.34375,PreMarketWait,1
1720471119.234375,0.359375,PreMarketWait,1
1720471119.578125,0.34375,PreMarketWait,1
1720471133.15625,0.3125,PreMarketWait,1
1720471133.515625,0.359375,PreMarketWait,1
1720471184.796875,0.40625,PreMarketWait,1
1720471210.046875,0.328125,PreMarketWait,1
1720471307.6875,0.34375,PreMarketWait,1
1720471392.84375,0.4375,PreMarketWait,1
1720471415.78125,0.421875,PreMarketWait,1
1720471416.140625,0.359375,PreMarketWait,1
1720471581.90625,0.359375,RiskPage1,1
1720471582.34375,0.4375,RiskPage1,1
1720471633.703125,0.5,ForecastPage,2
1720471634.25,0.546875,ForecastPage,2
1720471776.703125,0.40625,MarketWaitPage,3
1720471971.546875,0.390625,ForecastPage,5
1720472051.21875,0.484375,PreMarketWait,6
1720472193.40625,0.375,ForecastPage,7
1720472203.375,0.375,ForecastPage,7
1720472235.9375,0.4375,RoundResultsPage,7
1720472236.390625,0.453125,RoundResultsPage,7
1720472555.84375,0.34375,MarketGridChoice,11
1720472671.21875,0.59375,ForecastPage,12
1720472674.875,0.328125,ForecastPage,12
1720472676.46875,0.328125,ForecastPage,12
1720472676.8125,0.34375,ForecastPage,12
1720472786.203125,0.546875,ForecastPage,13
1720472798.5,0.359375,MarketWaitPage,13
1720473011.28125,0.390625,RoundResultsPage,15
1720473103.28125,0.328125,MarketWaitPage,16
1720473118.890625,0.40625,RiskPage1,16
1720473123.515625,0.359375,RiskPage2,16
1720473248.453125,0.359375,MarketGridChoice,18
1720473322.4375,0.328125,RiskPage2,18
1720473322.75,0.3125,RiskPage2,18
1720473401.453125,0.421875,RoundResultsPage,19
1720473401.90625,0.453125,RoundResultsPage,19
1720473411.125,0.375,RiskPage1,19
1720473411.5625,0.4375,RiskPage1,19
1720473425.515625,0.359375,RiskPage4,19
1720473463.625,0.3125,ForecastPage,20
1720473523.734375,0.359375,PreMarketWait,21
1720473531.125,0.34375,MarketGridChoice,21
1720473531.453125,0.328125,MarketGridChoice,21
1720473531.890625,0.4375,MarketGridChoice,21
1720473568.1875,0.34375,ForecastPage,21
1720473568.515625,0.328125,ForecastPage,21
1720473588.03125,0.46875,RoundResultsPage,21
1720473713.09375,0.328125,PreMarketWait,23
1720473713.484375,0.390625,PreMarketWait,23
1720473772.359375,0.359375,ForecastPage,23
1720473808.3125,0.40625,RiskPage3,23
1720473839.609375,0.421875,MarketGridChoice,24
1720473858.390625,0.40625,ForecastPage,24
1720473898.46875,0.46875,RiskPage2,24
1720473898.84375,0.375,RiskPage2,24
1720473936.640625,0.359375,MarketGridChoice,25
1720473982.90625,0.390625,RoundResultsPage,25
1720474048.421875,0.390625,ForecastPage,26
1720474062.90625,0.453125,ForecastPage,26
1720474096.1875,0.390625,RiskPage2,26
1720474106.71875,0.46875,RiskPage4,26
1720474157.921875,0.390625,ForecastPage,27
1720474158.328125,0.40625,ForecastPage,27
1720474177.140625,0.328125,MarketWaitPage,27
1720474212.3125,0.375,RiskPage4,27
1720474260.1875,0.4375,ForecastPage,28
